emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_name
499495,Baoqiu,Kakkar,1/14/1965,8/30/1999,1/1/9999,Engineer,Development
499260,Danae,Honglei,1/11/1965,9/14/1998,1/1/9999,Engineer,Production
499194,Padma,Delgrange,1/29/1965,8/27/1999,1/1/9999,Senior Staff,Customer Service
499160,Urs,Rande,1/12/1965,1/25/1990,3/1/1991,Staff,Research
498955,Nechama,Kandlur,1/13/1965,1/16/1995,1/1/9999,Senior Engineer,Production
498845,Arumugam,Pelc,1/9/1965,11/13/1999,1/1/9999,Senior Engineer,Development
498838,Sanjay,Ciolek,1/16/1965,12/13/1989,1/1/9999,Senior Staff,Research
498635,Florian,Pezzoli,1/9/1965,7/22/1988,1/1/9999,Senior Staff,Sales
498456,Geraldo,Gerteisen,1/17/1965,6/5/1987,1/1/9999,Senior Staff,Customer Service
498337,Naraig,Docker,1/30/1965,5/17/1997,1/1/9999,Staff,Sales
498185,Caolyn,Marciano,1/19/1965,6/6/1999,1/1/9999,Senior Engineer,Development
497835,Shuho,Laurillard,1/29/1965,10/6/1999,1/1/9999,Technique Leader,Production
497660,Gritta,Petereit,1/2/1965,4/6/1985,9/5/1994,Senior Engineer,Development
497409,Reinhard,Erde,1/21/1965,12/4/1992,3/13/1996,Engineer,Production
497391,Paris,Lieblein,1/30/1965,5/19/1999,1/1/9999,Engineer,Quality Management
497340,Fayez,Keohane,1/6/1965,9/19/1990,1/1/9999,Senior Staff,Marketing
497174,Sanjiv,Bressoud,1/2/1965,4/27/1993,1/1/9999,Senior Engineer,Development
497007,Oldrich,Adachi,1/23/1965,8/9/1998,1/1/9999,Engineer,Customer Service
496978,Danco,Debuse,1/30/1965,9/10/1993,1/1/9999,Staff,Marketing
496970,Giordano,Maquelin,1/3/1965,12/31/1999,1/1/9999,Senior Engineer,Production
496100,Pranjal,Reinhard,1/7/1965,5/8/1995,1/1/9999,Staff,Customer Service
495969,Geoffrey,Panienski,1/1/1965,11/28/1988,6/7/1998,Senior Engineer,Production
494995,Yongmao,Pouyioutas,1/4/1965,8/24/1989,1/1/9999,Staff,Sales
494978,Bezalel,Himler,1/23/1965,7/9/1999,6/12/2002,Staff,Human Resources
494493,Masasuke,Koprowski,1/10/1965,11/20/1996,1/1/9999,Staff,Marketing
494088,Phule,Dahlbom,1/10/1965,2/6/1989,1/1/9999,Senior Engineer,Production
494019,Morrie,Iisaku,1/16/1965,5/6/1991,1/1/9999,Senior Staff,Marketing
493744,Leni,Kropatsch,1/14/1965,7/17/1997,1/1/9999,Senior Engineer,Production
493278,Shaleah,Pileggi,1/28/1965,2/10/1999,10/30/1999,Engineer,Production
493096,Sachem,Msuda,1/31/1965,4/7/1995,1/1/9999,Engineer,Development
493048,Muzhong,Berztiss,1/31/1965,1/23/1995,1/1/9999,Staff,Sales
493031,Hironoby,Jakobus,1/23/1965,7/30/1991,1/1/9999,Staff,Customer Service
492677,Goetz,McAffer,1/26/1965,2/5/1988,1/1/9999,Engineer,Production
492639,Sanjoy,Porenta,1/30/1965,7/10/1997,1/1/9999,Engineer,Development
492217,Heekeun,Verhaegen,1/16/1965,9/28/1991,1/1/9999,Senior Engineer,Development
492052,Udo,Ratnakar,1/11/1965,11/30/1999,1/1/9999,Staff,Customer Service
492000,Valeska,Cools,1/10/1965,12/16/1993,1/1/9999,Staff,Human Resources
491632,Gadiel,Perly,1/1/1965,10/20/1986,1/1/9999,Senior Staff,Customer Service
491596,Charmane,Pargas,1/21/1965,7/29/1988,8/3/1992,Engineer,Quality Management
491494,Saniya,Broomell,1/19/1965,8/4/1992,9/2/1997,Staff,Sales
491478,Gill,Varman,1/16/1965,6/18/1988,1/1/9999,Senior Staff,Sales
491162,Panayotis,Hempstead,1/14/1965,8/29/1994,1/1/9999,Senior Engineer,Development
491079,Kwangsub,Keirsey,1/6/1965,2/4/1992,1/1/9999,Senior Engineer,Development
490720,Younwoo,Samarati,1/19/1965,8/19/1996,5/18/2002,Senior Engineer,Production
490568,Zita,Reistad,1/1/1965,7/23/1998,1/1/9999,Senior Engineer,Development
490557,Luise,Vigier,1/27/1965,7/1/1994,1/1/9999,Engineer,Production
490551,Lalit,Lindqvist,1/1/1965,11/7/1998,1/1/9999,Engineer,Development
490240,Kazunori,Orlowska,1/18/1965,6/18/1996,10/26/2000,Staff,Sales
489928,Satoru,Janetzko,1/28/1965,7/26/1997,1/1/9999,Assistant Engineer,Development
489756,Kersti,Miculan,1/1/1965,6/9/1992,1/1/9999,Staff,Finance
489755,Matk,Chorvat,1/14/1965,12/30/1994,12/4/1999,Senior Staff,Finance
489465,Bogdan,Pepe,1/17/1965,2/15/1995,11/6/1998,Engineer,Production
488984,Kendra,Junet,1/18/1965,2/28/1986,11/12/1992,Staff,Finance
488788,Wuxu,Garigliano,1/12/1965,9/21/1990,1/1/9999,Staff,Customer Service
488752,Nimmagadda,Baja,1/23/1965,2/9/1994,1/1/9999,Senior Staff,Marketing
488707,Mihalis,Remmers,1/16/1965,3/1/1990,1/1/9999,Staff,Sales
488693,Jiong,Zultner,1/27/1965,3/10/1993,1/1/9999,Senior Engineer,Development
488632,Irena,Baalen,1/20/1965,11/22/1999,2/10/2001,Staff,Sales
488619,Georgy,Bennis,1/25/1965,4/11/1998,1/1/9999,Engineer,Production
488540,Breannda,Maquelin,1/22/1965,4/12/1996,1/1/9999,Senior Staff,Finance
488482,Kensyu,Tsunoo,1/30/1965,12/5/1999,1/1/9999,Engineer,Development
488414,Changho,Gaughan,1/10/1965,6/21/1987,7/13/1991,Engineer,Development
488142,Denis,Narlikar,1/5/1965,7/1/1991,1/1/9999,Staff,Sales
488115,Leah,Luke,1/29/1965,8/23/1995,9/27/1995,Assistant Engineer,Development
488095,Francoise,Hegner,1/24/1965,12/23/1997,1/1/9999,Senior Staff,Customer Service
487988,Ekawit,Schaft,1/5/1965,5/20/1990,1/1/9999,Senior Staff,Human Resources
487856,Jaewon,Mansanne,1/18/1965,5/22/1999,4/29/2000,Engineer,Development
487505,Uno,Jayawardene,1/20/1965,11/2/1987,1/1/9999,Senior Staff,Research
487008,Zhigen,Raney,1/22/1965,5/26/1993,1/1/9999,Senior Staff,Sales
486958,Tonny,Kropf,1/6/1965,7/30/1986,1/1/9999,Senior Engineer,Development
486956,Matt,Ruemmler,1/1/1965,10/14/1993,1/1/9999,Engineer,Production
486955,Jaber,Feldmann,1/9/1965,5/23/1997,8/5/1998,Engineer,Production
486918,Yagil,Remmers,1/18/1965,11/1/1994,1/1/9999,Senior Staff,Sales
486808,Geoffrey,Siochi,1/5/1965,12/27/1998,1/1/9999,Senior Engineer,Quality Management
486068,Yefim,Bernardeschi,1/11/1965,6/26/1996,1/1/9999,Staff,Human Resources
485817,Mahmut,Bolotov,1/29/1965,2/21/1997,1/1/9999,Engineer,Production
485799,Yoshimitsu,Litvinov,1/27/1965,11/22/1997,1/1/9999,Senior Staff,Research
485579,Munehiro,Iwayama,1/18/1965,12/16/1986,1/1/9999,Engineer,Development
485577,Rafael,Menhoudj,1/30/1965,4/27/1997,1/1/9999,Senior Engineer,Development
485489,Keiichiro,Armand,1/1/1965,12/14/1986,1/1/9999,Assistant Engineer,Development
485253,Gladys,Parhami,1/14/1965,7/20/1996,1/1/9999,Senior Staff,Customer Service
484756,Phule,Ruemmler,1/16/1965,8/9/1990,1/1/9999,Senior Engineer,Development
484498,Herbert,Hammerschmidt,1/26/1965,8/22/1996,1/1/9999,Senior Engineer,Production
484142,Perry,Cooman,1/5/1965,4/23/1987,1/1/9999,Senior Staff,Human Resources
484126,Manton,Lueh,1/5/1965,4/7/1989,1/1/9999,Senior Staff,Human Resources
483978,Dung,Tanemo,1/24/1965,1/28/1990,1/1/9999,Senior Staff,Sales
483838,Sham,Kavanagh,1/3/1965,12/18/1997,1/1/9999,Assistant Engineer,Production
483825,Marek,Mitchem,1/22/1965,11/20/1992,1/1/9999,Senior Engineer,Production
483675,Hausi,Kamber,1/22/1965,2/16/1988,1/1/9999,Senior Engineer,Production
483401,Rosita,Pokrovskii,1/10/1965,8/3/1996,1/1/9999,Senior Staff,Sales
483213,Phillip,Munch,1/16/1965,9/2/1991,4/1/1998,Technique Leader,Development
482944,Duke,Journel,1/26/1965,10/26/1991,1/1/9999,Senior Staff,Sales
482905,Aral,Hebden,1/16/1965,9/10/1991,1/1/9999,Senior Staff,Finance
482885,Shaunak,Brizzi,1/29/1965,9/2/1988,1/1/9999,Engineer,Production
482756,Shaowei,Back,1/2/1965,7/30/1996,12/21/1998,Senior Staff,Sales
482755,Jouni,Conia,1/3/1965,10/31/1994,1/1/9999,Staff,Marketing
